video, label, start, end
6173409038898803222.mp4,24,2163.84,2165.84
6248757368159454461.mp4,24,2604.64,2606.64
6344090180248373557.mp4,24,1440.96,1442.96
6351522191657378473.mp4,24,1955.52,1957.52
6628740855794537829.mp4,24,3234.88,3236.88
6308462138037868281.mp4,25,675.2,677.2
6308462138037868281.mp4,25,1317.12,1319.12
6308462138037868281.mp4,25,1849.76,1851.76
6338338360066609308.mp4,25,358.88,360.88
6628740855794537829.mp4,25,2793.76,2795.76
6178608096810615129.mp4,43,3267.2,3269.2
6178608096810615129.mp4,43,3267.2,3269.2
6178608096810615129.mp4,43,3267.2,3269.2
6354497315503320017.mp4,43,2199.68,2201.68
6354497315503320017.mp4,43,2199.68,2201.68
6720375701041581147.mp4,62,1826.08,1828.08
6257019167271091512.mp4,71,900.48,902.48
6257019167271091512.mp4,71,927.04,929.04
6257019167271091512.mp4,71,1641.12,1643.12
6341305752971415988.mp4,71,1379.36,1381.36
6658792312467883074.mp4,71,1490.88,1492.88
6261718290968604794.mp4,122,791.68,793.68
6273198738550790730.mp4,122,1254.08,1256.08
6330709209637705750.mp4,122,1159.36,1161.36
6357925987895720867.mp4,122,1338.08,1340.08
6737448196043181786.mp4,122,809.92,811.92
5960416456729465325.mp4,142,557.12,559.12
6135550620171476701.mp4,142,1117.92,1119.92
6607198588328010578.mp4,142,963.68,965.68
6607198588328010578.mp4,142,969.44,971.44
5631574433186751442.mp4,159,367.84,369.84
6098099364343831883.mp4,227,52.48,54.48
6129725356027934281.mp4,227,633.44,635.44
6338709445240983717.mp4,227,1113.6,1115.6
6344090180248373557.mp4,227,2370.24,2372.24
6135550620171476701.mp4,229,1571.04,1573.04
6179430153551072849.mp4,229,1367.52,1369.52
6196049100006266304.mp4,229,248.16,250.16
6213124172005024795.mp4,229,1175.84,1177.84
5907058789521025962.mp4,325,3418.56,3420.56
6054764862314114588.mp4,381,3574.72,3576.72
6247636381695264510.mp4,381,1944.0,1946.0
6246126271193922785.mp4,413,1748.48,1750.48
6272840538278304318.mp4,413,3320.0,3322.0
6274680502267912138.mp4,413,1887.04,1889.04
6311030098984148580.mp4,413,2409.6,2411.6
6352625139258993460.mp4,413,35.36,37.36
6126670345790285122.mp4,495,2762.72,2764.72
6564705470395762128.mp4,495,816.48,818.48
6564705470395762128.mp4,495,1423.68,1425.68
6621119436331978725.mp4,495,1091.52,1093.52
6581585980355030653.mp4,599,390.56,392.56
6127127759807312359.mp4,600,659.04,661.04
6135156342173702610.mp4,600,989.28,991.28
6165692271158077149.mp4,651,1866.88,1868.88
6165692271158077149.mp4,651,1875.68,1877.68
6165692271158077149.mp4,651,2428.32,2430.32
6165692271158077149.mp4,651,2610.72,2612.72
6287775428056696829.mp4,651,1238.88,1240.88
6340564871112855898.mp4,651,814.56,816.56
6022742015651925506.mp4,715,504.8,506.8
6046092034853293442.mp4,715,2470.72,2472.72
6049832521871453038.mp4,715,3100.8,3102.8
6201983885815812975.mp4,715,209.6,211.6
6227940520669210466.mp4,715,1900.48,1902.48
6244031186167982025.mp4,715,320.16,322.16
6134450249550238161.mp4,749,2951.04,2953.04
6136005457208122724.mp4,749,1485.6,1487.6
6039179284990373014.mp4,776,1028.0,1030.0
6351522191657378473.mp4,776,827.36,829.36
6351522191657378473.mp4,776,1670.72,1672.72
6720375701041581147.mp4,776,2085.44,2087.44
6120463688550827708.mp4,829,629.28,631.28
6152598633859508329.mp4,829,1296.32,1298.32
6163019942506499968.mp4,829,470.08,472.08
6196771943002142813.mp4,829,1036.64,1038.64
6223894661476429991.mp4,829,1613.44,1615.44
6171540728141904121.mp4,864,1796.8,1798.8
6366454504455396388.mp4,864,204.32,206.32
6709985316159097541.mp4,864,2887.68,2889.68
6351522191657378473.mp4,869,2931.36,2933.36
6661391197178692688.mp4,869,3308.96,3310.96
6782172978990826513.mp4,869,640.64,642.64
6782172978990826513.mp4,869,675.04,677.04
6857309995856305893.mp4,869,2092.64,2094.64
6857309995856305893.mp4,869,2097.28,2099.28
6248757368159454461.mp4,879,891.52,893.52
6658792312467883074.mp4,938,3204.32,3206.32
6659912010441950233.mp4,938,1727.36,1729.36
6661391197178692688.mp4,938,2220.8,2222.8
6022837363925840486.mp4,981,309.76,311.76
6022837363925840486.mp4,981,3496.48,3498.48
6039503984517950616.mp4,981,1321.44,1323.44
6040984459744884368.mp4,981,1875.68,1877.68
6124055999197204899.mp4,981,2483.36,2485.36
5555020077947990063.mp4,988,554.4,556.4
5555020077947990063.mp4,988,562.08,564.08
5555020077947990063.mp4,988,731.52,733.52
