video, label, start, end
5839906546351331537.mp4,62,2784.64,2786.64
6035825345028924654.mp4,62,1160.0,1162.0
5624150152718907835.mp4,142,1317.28,1319.28
5624150152718907835.mp4,142,1366.24,1368.24
5624150152718907835.mp4,142,1373.6,1375.6
5696598090576804491.mp4,142,3305.76,3307.76
5953088813025698897.mp4,142,1362.88,1364.88
5960416456729465325.mp4,142,557.12,559.12
6135550620171476701.mp4,142,1117.92,1119.92
5512841350779032381.mp4,159,3032.0,3034.0
6082968624056740864.mp4,227,71.84,73.84
6082968624056740864.mp4,227,1174.72,1176.72
6082968624056740864.mp4,227,1181.6,1183.6
6098099364343831883.mp4,227,52.48,54.48
6129725356027934281.mp4,227,633.44,635.44
6344090180248373557.mp4,227,2370.24,2372.24
5720292136646389708.mp4,229,370.4,372.4
5839441401393227961.mp4,229,1830.56,1832.56
5971271986570059998.mp4,229,1511.68,1513.68
6135550620171476701.mp4,229,1571.04,1573.04
6213124172005024795.mp4,229,1175.84,1177.84
5313988659941518150.mp4,325,1855.36,1857.36
5907058789521025962.mp4,325,3418.56,3420.56
5963020495400977927.mp4,381,610.56,612.56
6038291515250289797.mp4,381,771.68,773.68
6054764862314114588.mp4,381,3574.72,3576.72
6104397504386739175.mp4,495,2651.36,2653.36
6104397504386739175.mp4,495,2721.92,2723.92
6104397504386739175.mp4,495,2743.36,2745.36
6126670345790285122.mp4,495,2737.92,2739.92
6126670345790285122.mp4,495,2762.72,2764.72
6135550620171476701.mp4,599,523.68,525.68
6038782430012222607.mp4,600,588.0,590.0
6038782430012222607.mp4,600,620.16,622.16
6127127759807312359.mp4,600,659.04,661.04
6135156342173702610.mp4,600,989.28,991.28
6104397504386739175.mp4,749,2960.48,2962.48
6134450249550238161.mp4,749,2951.04,2953.04
5872438346655005624.mp4,776,1529.12,1531.12
6039179284990373014.mp4,776,1028.0,1030.0
5705864912832600544.mp4,864,569.6,571.6
5748468840095064497.mp4,864,1906.72,1908.72
5879969571791679090.mp4,864,3316.48,3318.48
6180422290996445654.mp4,938,480.0,482.0
6147396998967316634.mp4,997,930.24,932.24
6163094674937450436.mp4,997,512.48,514.48
6221297065255808656.mp4,997,14.08,16.08
6221297065255808656.mp4,997,64.48,66.48
5930806952190789095.mp4,1040,2006.24,2008.24
5594507148265583126.mp4,1126,1220.32,1222.32
5587816017884935437.mp4,1127,1932.32,1934.32
6080371027836117437.mp4,1127,2377.12,2379.12
5636786376830680426.mp4,1185,1905.76,1907.76
6274706272088545077.mp4,1185,2468.32,2470.32
6101151797601104589.mp4,1196,1708.8,1710.8
6173393577016537621.mp4,1196,2149.6,2151.6
6129605526440376534.mp4,1245,1596.32,1598.32
6129605526440376534.mp4,1245,2267.04,2269.04
6129725356027934281.mp4,1245,673.12,675.12
6132195391719837984.mp4,1245,2104.64,2106.64
6134795564920836591.mp4,1245,1526.72,1528.72
5901398452121687706.mp4,1292,865.12,867.12
5974239379474869334.mp4,1292,152.48,154.48
6034700493094099579.mp4,1292,562.24,564.24
6036554630475785472.mp4,1292,177.6,179.6
6127127759807312359.mp4,1292,404.48,406.48
6135550620171476701.mp4,1292,1324.0,1326.0
5705864912832600544.mp4,1325,1224.32,1226.32
5889245412660869847.mp4,1366,1051.2,1053.2
6098083902461564730.mp4,1366,1252.64,1254.64
6098083902461564730.mp4,1366,1448.48,1450.48
6098083902461564730.mp4,1366,1476.64,1478.64
6196771943002142813.mp4,1366,1407.68,1409.68
5633423416607680342.mp4,1373,2795.84,2797.84
5714764513736430555.mp4,1373,1817.6,1819.6
6036554630475785472.mp4,1373,2303.04,2305.04
5617491235423185991.mp4,1427,190.24,192.24
5120215198258444599.mp4,1483,6573.44,6575.44
5548901037215055697.mp4,1483,3117.6,3119.6
5543297393371696489.mp4,1497,2172.8,2174.8
5589270723308093095.mp4,1497,1719.2,1721.2
5599288734525993317.mp4,1497,3060.48,3062.48
5894440605102082849.mp4,1497,1482.56,1484.56
